,Coluna1A_Coluna1B,Coluna2A_Coluna2B
0,0.472,0.577
1,0.356,0.0
2,0.528,0.539
3,0.488,0.577
4,0.505,0.613
5,0.505,0.0
6,0.589,0.0
7,0.6,0.0
8,0.431,0.0
9,0.501,0.544
10,0.429,0.0
11,0.458,0.0
12,0.634,0.0
13,0.544,0.473
14,0.454,0.0
15,0.526,0.444
16,0.0,0.429
17,0.49,0.49
18,0.607,0.54
19,0.403,0.54
20,0.503,0.0
21,0.517,0.502
22,0.512,0.661
23,0.519,0.0
24,0.438,0.0
25,0.535,0.561
26,0.0,0.0
27,0.522,0.496
28,0.424,0.0
29,0.532,0.0
30,0.441,0.683
31,0.348,0.0
32,0.458,1.0
33,0.556,0.0
34,0.547,0.0
35,0.501,0.398
36,0.426,0.0
37,0.0,0.0
38,0.657,0.0
39,0.533,0.0
40,0.443,0.0
41,0.515,0.418
42,0.444,0.6
43,0.458,0.496
44,0.495,0.0
45,0.422,0.0
46,0.433,0.0
47,0.0,0.41
48,0.385,0.413
49,0.0,0.0
50,0.567,0.0
51,0.511,0.889
52,0.452,0.0
53,0.456,0.302
54,0.579,0.0
55,0.621,0.0
56,0.695,0.0
57,0.528,0.437
58,0.531,0.0
59,0.0,0.0
60,0.451,0.403
61,0.626,0.0
62,0.519,0.917
63,0.543,0.513
64,0.452,0.0
65,0.535,0.595
66,0.504,0.0
67,0.671,0.0
68,0.587,0.0
69,0.54,0.0
70,0.0,0.54
71,0.483,0.0
72,0.531,0.0
73,0.0,0.463
74,0.602,0.551
75,0.42,0.601
76,0.467,0.0
77,0.0,0.0
78,0.574,0.567
79,0.524,0.905
80,0.607,0.0
81,0.375,0.54
82,0.453,0.607
83,0.378,0.0
84,0.605,0.0
85,0.432,0.439
86,0.467,0.0
87,0.679,0.525
88,0.0,0.0
89,0.598,0.0
90,0.468,0.0
91,0.493,0.0
92,0.39,0.528
93,0.629,0.518
94,0.69,0.0
95,0.0,0.544
96,0.0,0.597
97,0.501,0.517
98,0.614,0.0
99,0.407,0.526
100,0.619,0.0
101,0.621,0.0
102,0.0,0.0
103,0.479,0.0
104,0.502,0.0
105,0.0,0.0
106,0.448,0.524
107,0.489,0.0
108,0.448,0.0
109,0.0,0.0
110,0.476,0.0
111,0.0,0.0
112,0.439,0.299
113,0.42,0.357
114,0.0,0.0
115,0.417,0.0
116,0.422,0.561
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.642
122,0.0,0.498
123,0.442,0.0
124,0.0,0.0
125,0.557,0.842
126,0.644,0.0
127,0.0,0.73
128,0.505,0.789
129,0.533,0.0
130,0.682,0.613
131,0.447,0.595
132,0.608,0.357
133,0.421,0.0
134,0.0,0.0
135,0.448,0.0
136,0.475,0.0
137,0.0,0.0
138,0.447,0.0
139,0.0,0.449
140,0.513,0.0
141,0.426,0.0
142,0.56,0.0
143,0.565,0.688
144,0.496,0.0
145,0.519,0.0
146,0.607,0.0
147,0.64,0.866
148,0.487,0.53
149,0.501,0.0
150,0.553,0.415
151,0.55,0.0
152,0.596,0.561
153,0.547,0.0
154,0.481,0.86
155,0.588,0.0
156,0.606,0.911
157,0.533,0.562
158,0.5,0.613
159,0.499,0.0
160,0.448,0.561
161,0.414,0.613
162,0.0,0.0
163,0.485,0.0
164,0.633,0.0
165,0.0,0.0
166,0.491,0.0
167,0.0,0.932
168,0.526,0.0
169,0.502,0.53
170,0.397,0.0
171,0.514,0.0
172,0.602,0.0
173,0.463,0.0
174,0.546,0.0
175,0.518,0.0
176,0.504,0.0
177,0.55,0.0
178,0.602,0.688
179,0.55,0.0
180,0.463,0.0
181,0.542,0.561
182,0.55,0.0
183,0.507,0.0
184,0.483,0.0
185,0.48,0.0
186,0.68,0.0
187,0.667,0.0
188,0.614,0.0
189,0.606,0.0
190,0.0,0.0
191,0.563,0.486
192,0.444,0.0
193,0.555,0.0
194,0.521,0.613
195,0.524,0.544
196,0.322,0.0
197,0.442,0.591
198,0.424,0.403
199,0.643,0.307
200,0.424,0.561
201,0.537,0.0
202,0.644,0.0
203,0.53,0.0
204,0.626,1.0
205,0.0,0.0
206,0.608,0.664
207,0.414,0.491
208,0.625,0.0
209,0.472,0.0
210,0.588,0.489
211,0.587,0.897
212,0.591,0.0
213,0.564,0.489
214,0.467,0.437
215,0.0,0.511
216,0.574,0.0
217,0.418,0.0
218,0.509,0.0
219,0.407,0.432
220,0.437,0.489
221,0.499,0.6
222,0.45,0.0
223,0.578,0.544
224,0.688,0.0
225,0.49,0.0
226,0.525,0.0
227,0.507,0.0
228,0.506,0.0
229,0.423,0.0
230,0.538,0.544
231,0.555,0.0
232,0.401,0.526
233,0.0,0.0
234,0.385,0.557
235,0.582,0.0
236,0.546,0.936
237,0.603,0.0
238,0.489,0.489
239,0.598,0.0
240,0.837,0.0
241,0.579,0.0
242,0.538,0.0
243,0.685,0.746
244,0.494,0.506
245,0.478,1.0
246,0.508,0.0
247,0.579,0.561
248,0.509,0.0
249,0.606,0.0
250,0.595,0.502
251,0.581,0.401
252,0.473,0.613
253,0.45,0.0
254,0.514,0.0
255,0.48,0.542
256,0.617,0.0
257,0.41,0.516
258,0.381,0.556
259,0.5,0.0
260,0.583,0.0
261,0.588,0.0
262,0.739,0.0
263,0.507,0.0
264,0.759,0.0
265,0.517,0.561
266,0.528,0.0
267,0.677,0.0
268,0.464,0.0
269,0.5,0.0
270,0.501,0.0
271,0.524,0.0
272,0.532,0.0
273,0.619,0.484
274,0.416,0.488
275,0.543,0.0
276,0.426,0.582
277,0.547,0.0
278,0.493,0.0
279,0.547,0.0
280,0.0,0.0
281,0.543,0.0
282,0.418,0.0
283,0.578,0.0
284,0.562,0.0
285,0.549,0.501
286,0.5,0.0
287,0.515,0.437
288,0.589,0.0
289,0.542,0.0
290,0.539,0.567
291,0.442,0.0
292,0.509,0.0
293,0.514,0.551
294,0.0,0.54
295,0.404,0.0
296,0.431,0.0
297,0.511,0.0
298,0.599,0.0
299,0.478,0.0
300,0.509,0.0
301,0.6,0.561
302,0.702,0.0
303,0.557,0.505
304,0.537,0.0
305,0.588,0.778
306,0.595,0.489
307,0.0,0.458
308,0.0,0.0
309,0.0,0.0
310,0.408,0.0
311,0.402,0.0
312,0.311,0.0
313,0.768,0.593
314,0.539,0.498
315,0.0,0.0
316,0.567,0.0
317,0.432,0.0
318,0.481,0.561
319,0.415,0.0
320,0.552,0.0
321,0.575,0.0
322,0.39,1.0
323,0.567,0.556
324,0.535,0.0
325,0.556,0.0
326,0.491,0.847
327,0.521,0.69
328,0.547,0.6
329,0.589,0.514
330,0.594,0.0
331,0.56,0.463
332,0.531,0.0
333,0.512,0.0
334,0.0,0.454
335,0.367,0.561
336,0.456,0.0
337,0.601,0.0
338,0.0,0.758
339,0.418,0.0
340,0.424,0.0
341,0.519,0.562
342,0.626,0.0
343,0.526,0.0
344,0.544,0.0
345,0.485,0.562
346,0.0,0.0
347,0.454,0.917
348,0.282,0.0
349,0.484,0.613
350,0.48,0.0
351,0.635,0.0
352,0.0,0.682
353,0.665,0.0
354,0.404,0.0
355,0.397,0.544
356,0.577,0.578
357,0.672,0.0
358,0.0,0.0
359,0.571,0.0
360,0.448,0.0
361,0.526,0.497
362,0.39,0.0
363,0.512,0.0
364,0.683,0.458
365,0.648,0.0
366,0.417,0.0
367,0.589,0.0
368,0.601,0.0
369,0.466,0.0
370,0.577,0.521
371,0.603,0.0
372,0.621,0.0
373,0.377,0.0
374,0.39,0.0
375,0.481,0.0
376,0.45,0.0
377,0.556,0.437
378,0.454,0.0
379,0.548,0.0
380,0.449,0.0
381,0.607,0.613
382,0.539,0.0
383,0.521,0.0
384,0.57,0.0
385,0.505,0.362
386,0.512,0.613
387,0.506,0.0
388,0.534,0.481
389,0.344,0.561
390,0.37,0.448
391,0.553,0.459
392,0.48,0.605
393,0.427,0.0
394,0.345,0.0
395,0.0,0.437
396,0.5,0.431
397,0.53,0.0
398,0.556,0.643
399,0.0,0.0
400,0.556,0.0
401,0.513,0.0
402,0.465,0.0
403,0.567,0.593
404,0.49,0.0
405,0.313,0.544
406,0.46,0.0
407,0.0,0.496
408,0.0,0.489
409,0.424,0.0
410,0.495,0.419
411,0.518,0.0
412,0.524,0.0
413,0.543,0.0
414,0.42,0.489
415,0.556,0.0
416,0.616,0.688
417,0.0,0.0
418,0.614,0.0
419,0.465,0.437
420,0.43,0.515
421,0.566,0.0
422,0.623,0.428
423,0.647,0.567
424,0.0,0.498
425,0.713,0.444
426,0.623,0.471
427,0.547,0.548
428,0.589,0.0
429,0.498,0.426
430,0.564,0.551
431,0.481,0.41
432,0.484,0.0
433,0.0,0.561
434,0.508,0.448
435,0.589,0.0
436,0.0,0.0
437,0.519,0.0
438,0.677,0.0
439,0.603,0.0
440,0.298,0.489
441,0.473,0.0
442,0.546,0.0
443,0.428,0.0
444,0.522,0.0
445,0.41,0.0
446,0.603,0.633
447,0.637,0.0
448,0.545,0.0
449,0.533,0.573
450,0.522,0.0
451,0.531,0.0
452,0.411,0.0
453,0.585,0.0
454,0.574,0.0
455,0.356,0.0
456,0.493,0.0
457,0.587,0.0
458,0.418,0.0
459,0.604,0.696
460,0.647,0.306
461,0.547,0.0
462,0.501,0.659
463,0.611,0.496
464,0.351,0.0
465,0.0,0.554
466,0.54,0.0
467,0.455,0.489
468,0.448,0.489
469,0.574,0.0
470,0.601,0.514
471,0.476,0.556
472,0.0,0.533
473,0.676,0.0
474,0.611,0.0
475,0.65,0.0
476,0.502,0.0
477,0.0,0.0
478,0.5,0.0
479,0.505,0.394
480,0.535,0.0
481,0.431,0.0
482,0.0,0.0
483,0.645,0.0
484,0.589,0.0
485,0.63,0.0
486,0.532,0.688
487,0.0,0.0
488,0.463,0.0
489,0.512,0.0
490,0.519,0.0
491,0.526,0.0
492,0.496,0.0
493,0.619,0.0
494,0.538,0.0
495,0.563,0.54
496,0.0,0.0
497,0.588,0.0
498,0.596,0.528
499,0.511,0.0
500,0.464,0.0
501,0.487,0.456
502,0.467,0.0
503,0.0,0.0
504,0.0,0.0
505,0.692,0.0
506,0.0,0.0
507,0.53,1.0
508,0.442,0.0
509,0.513,0.0
510,0.6,0.0
511,0.0,0.0
512,0.0,0.619
513,0.566,0.0
514,0.487,0.0
515,0.489,0.0
516,0.517,0.0
517,0.472,0.0
518,0.483,0.532
519,0.481,0.432
520,0.417,0.561
521,0.311,0.0
522,0.686,0.403
523,0.51,0.5
524,0.0,0.0
525,0.0,0.0
526,0.574,0.0
527,0.374,0.0
528,0.0,0.0
529,0.53,0.0
530,0.0,0.0
531,0.578,0.53
532,0.582,0.0
533,0.48,0.0
534,0.537,0.561
535,0.576,0.0
536,0.556,0.0
537,0.488,0.567
538,0.376,0.508
539,0.453,0.0
540,0.551,0.464
541,0.54,0.0
542,0.0,0.465
543,0.437,0.0
544,0.528,0.0
545,0.514,0.534
546,0.481,0.544
547,0.496,0.0
548,0.579,0.0
549,0.584,0.561
550,0.417,0.0
551,0.609,0.912
552,0.525,0.0
553,0.464,0.0
554,0.416,0.432
555,0.627,0.799
556,0.526,0.0
557,0.606,0.0
558,0.649,0.0
559,0.444,0.0
560,0.519,0.532
561,0.464,0.0
562,0.0,0.561
563,0.0,0.0
564,0.541,0.0
565,0.586,0.639
566,0.508,0.0
567,0.552,0.0
568,0.609,0.0
569,0.463,0.0
570,0.374,0.489
571,0.591,0.0
572,0.667,0.616
573,0.571,0.682
574,0.461,0.544
575,0.509,0.0
576,0.611,0.0
577,0.556,0.0
578,0.532,0.633
579,0.0,0.0
580,0.503,0.622
581,0.531,0.469
582,0.602,0.508
583,0.509,0.53
584,0.0,0.0
585,0.464,0.0
586,0.513,0.436
587,0.538,0.0
588,0.574,0.661
589,0.657,0.0
590,0.707,0.0
591,0.438,0.413
592,0.493,0.0
593,0.665,0.0
594,0.514,0.905
595,0.587,0.505
596,0.576,0.0
597,0.54,0.431
598,0.531,0.0
599,0.557,0.561
600,0.436,0.0
601,0.547,0.0
602,0.494,0.561
603,0.426,0.53
604,0.499,0.489
605,0.306,0.0
606,0.442,0.0
607,0.483,0.489
608,0.0,0.0
609,0.479,0.633
610,0.521,0.546
611,0.567,0.466
612,0.515,0.0
613,0.606,0.893
614,0.606,0.0
615,0.423,0.0
616,0.621,0.395
617,0.542,0.42
618,0.444,0.0
619,0.0,0.0
620,0.642,0.0
621,0.504,0.0
622,0.596,0.429
623,0.477,0.589
624,0.449,0.613
625,0.475,0.489
626,0.299,0.0
627,0.541,0.0
628,0.0,0.821
629,0.486,0.762
630,0.574,0.0
631,0.627,0.0
632,0.554,0.554
633,0.51,0.0
634,0.444,0.0
635,0.427,0.556
636,0.607,0.543
637,0.562,0.708
638,0.437,0.0
639,0.384,0.0
640,0.361,0.0
641,0.532,0.467
642,0.552,0.0
643,0.0,0.542
644,0.0,0.688
645,0.0,0.0
646,0.639,0.613
647,0.5,0.583
648,0.486,0.561
649,0.313,0.0
650,0.671,0.0
651,0.502,0.561
652,0.5,0.561
653,0.433,0.0
654,0.617,0.696
655,0.608,0.0
656,0.393,0.0
657,0.0,0.542
658,0.0,0.0
659,0.431,0.0
660,0.571,0.542
661,0.463,0.613
662,0.603,0.0
663,0.537,0.0
664,0.562,0.0
665,0.515,0.0
666,0.543,0.0
667,0.452,0.0
668,0.464,0.0
669,0.448,0.0
670,0.564,0.0
671,0.49,0.0
672,0.467,0.0
673,0.435,0.0
674,0.561,0.444
675,0.506,0.0
676,0.418,0.0
677,0.535,0.893
678,0.519,0.0
679,0.647,0.0
680,0.534,0.0
681,0.5,0.556
682,0.464,0.613
683,0.519,0.639
684,0.0,0.0
685,0.571,0.561
686,0.482,0.0
687,0.633,0.0
688,0.466,0.0
689,0.436,0.0
690,0.0,0.543
691,0.553,0.0
692,0.528,0.431
693,0.547,0.905
694,0.481,0.0
695,0.559,0.0
696,0.504,0.0
697,0.6,0.543
698,0.644,0.0
699,0.542,0.613
700,0.422,0.0
701,0.519,0.593
702,0.458,0.544
703,0.456,0.548
704,0.327,0.437
705,0.514,0.0
706,0.547,0.0
707,0.459,0.0
708,0.504,0.498
709,0.498,0.0
710,0.548,0.696
711,0.0,0.0
712,0.504,0.0
713,0.562,0.0
714,0.517,0.0
