Nome_Logradouro,Complemento
ANTONIO ROSA,ANDAR 3 APARTAMENTO 301
VI,1 ANDAR APARTAMENTO 103
JOAO VI,BLOCO 8 ANDAR 2 APARTAMENTO 203
DULCE,APARTAMENTO 904
JOSE DE BROTAS,TERREO
CORREA DE MENEZES,
CORREA DE MENEZES,APARTAMENTO 1601
CORREA DE MENEZES,APARTAMENTO 202
CORREA DE MENEZES,APARTAMENTO 201
VASCO DA,
WALDEMAR FALCAO,APARTAMENTO 101
FALCAO,
FALCAO,
DO ACUPE,CASA ANDAR 1
ACUPE,
DO ACUPE,1002
ACUPE,603
SILVA,SUBSOLO 2
ASSIS SAMPAIO,ANDAR 1
CAETANO,ANDAR 1
,TERREO
DO ACUPE,FUNDOS 4 APARTAMENTO 2012
NOME,TERREO
CAETANO,BARRACA
,
GRACA LESSA SEGUNDA,
CARAVELAS 2,BLOCO 303
HABITACIONAL CARAVELAS,BLOCO H APARTAMENTO 104
HABITACIONAL CARAVELAS,BLOCO E APARTAMENTO 203
LUIZ FIGUEIRA,BLOCO 02
KATUCHA,
VASCO DA GAMA,APARTAMENTO 10
DA FONTE DA BOLA,
JOSE RAMOS,
FILGUEIRAS,
SEM NOME,FUNDOS
FAUSTINO,QUARTO
SOALHEIRA,CASA A ANDAR 1 FRENTE
LUIZ FIGUEIRA,PREDIO ANDAR 2
ALVES CAMARA,TERREO
SERTANEJA,
ALVES CAMARA,CASA ANDAR 1
ANTONIO CORREA CALDAS,
DO SALVADOR,CASA ANDAR 1
MARIA PEIXOTO,CASA ANDAR 1
MARIA PEIXOTO,CASA TERREO
RODRIGUES CASTRO,CASA
RODRIGUES CASTRO ALVES,
DO PEPINO,
SANTOS DE BAIXO,
ALMEIDA SANTOS,
EDGARD REYS NAVARRO,APARTAMENTO 304 BLOCO 1
GUIMARAES,LOJA 1
BARROS FALCAO,
BARROS FALCAO,
FERNANDO TUDE DE SOUZA,FUNDOS
ALTO DOS COQUEIROS,SOBRADO
QUINTA JOAO PRISCO PARAISO,CASA
QUINTA JOAO PRISCO PARAISO,CASA
LAURENTINO,ANDAR 2
HILDA,
VALE DO,ANDAR 2
EDSON SALDANHA,FUNDOS CASA 2
DASS FLORES DE BROTAS,ANDAR 2 CASA 4
GRANDE,
RAFAEL,SOBRADO
PIATA,
PIATA,ANDAR 1
RAIMUNDO,FUNDOS ANDAR 2
,CASA TERREO AVENIDA_INTERNA
GUIOMAR FLORENCE,APARTAMENTO 402
ROLEMBERG,
MARIO CAMPOS,BLOCO 001
,CASA
,CASA SUBSOLO
VISTA,CASA
1A BELA,2A LADO
TRAVESSA ANDRE LUIS,CASA ANDAR 1A
BAIXA DA BICA,
2 TEIXEIRA BARROS,
ALTO DO SALDANHA,CASA TERREO
NATAL,ANDAR 2
13 DE,SUBSOLO
ANTONIO CARLOS,APARTAMENTO 704
CRUZ DA REDENCAO,APARTAMENTO 202
CRUZ DA REDENCAO,QUARTO 107
DO CHOCOLATE,5 A
CRUZ DA,CASA 3
ICAPUI,BLOCO b
CALMON,
LEONOR CALMON,
LEONOR CALMON,
FRANCISCA ROMANA,
NASCENTE,
18 DE AGOSTO,
3 TV FONTE DO GOVERNO,CASA
PLINIO GUERREIRO,
FALCAO,
WALDEMAR FALCAO,
WALDEMAR FALCAO,APARTAMENTO 1101
ALAGOINHAS,
PEDRO LUIZ,APARTAMENTO 802
MANOEL FAUSTINO,
MONTE BELEM DO MEIO,APARTAMENTO 201
UNIAO,ANDAR 1
MANOEL EUFROSINA,
UNIAO,FUNDOS CASA 6 TERREO
CAMARA,TERREO
CRESCECIANO DOS,TERREO
CRESCECIANO DOS SANTOS,
VASCO DA GAMA,
FRAGOSO,BLOCO APARTAMENTO
ARLINDO FRAGOSO,
ANTONIO DIAS MARTINS,APARTAMENTO 102
,APARTAMENTO 3
BARROS FALCAO,BLOCO 1301
DOS BANDEIRANTES,APARTAMENTO 701
DOS BANDEIRANTES,
DOS BANDEIRANTES,APARTAMENTO 302
COELHO,
RAUL LEITE,CASA 2 ANDAR 1
RAUL LEITE,4
RAUL LEITE,APARTAMENTO 201
2 GERSINO COELHO,
RIO AMAZONAS,ANDAR 1 CASA 4 TERREO 1 FUNDOS
AGUIAR,CASA 3 FUNDOS
ANSELMO,CASA 52
CORALINA,2 APARTAMENTO
DO BAIXAO,SOBRADO
HELIO DE OLIVEIRA,FUNDOS
HELIO DE,APARTAMENTO 02
PAULO VAZ,SUBSOLO APARTAMENTO 13
JOVENTINO,
VILA SAO ROQUE,APARTAMENTO 802
VILA SAO ROQUE,APARTAMENTO 402
LALITA COSTA,APARTAMENTO 23
COSTA,
NILSON COSTA,APARTAMENTO 906
COSTA,APARTAMENTO 901
SALES,ANDAR 2
GENESIO SALES,ANDAR 13 APARTAMENTO 1303
GENESIO SALES,ANDAR APARTAMENTO
GENESIO SALES,SUBSOLO APARTAMENTO 23
GENESIO SALES,5 APARTAMENTO
GENESIO SALES,ANDAR 3 APARTAMENTO 304
GENESIO SALES,ANDAR 1 APARTAMENTO 101
LALITA COSTA,ANDAR 2 APARTAMENTO 204
COSTA,2 APARTAMENTO
COSTA,4 404
BANDEIRANTES,APARTAMENTO SUBSOLO
LUIZ ANSELMO DA FONSECA,ANDAR 10 APARTAMENTO 1003
LUIZ ANSELMO DA FONSECA,ANDAR 9 APARTAMENTO 901
LUIZ ANSELMO DA FONSECA,1 APARTAMENTO
JOAO VI,a APARTAMENTO
NOVO HORIZONTE,A APARTAMENTO 804
HORIZONTE,189 B 14
NOVO HORIZONTE,BLOCO 140 A APARTAMENTO 901
IGREJA APOS TRAV,
DA IGREJA APOS TRAV,CASA
SEGUNDA TRAVESSA,CASA
ARTUR D ALMEIDA COUTO,ANDAR 101
BERNARDO SPECTOR,1 APARTAMENTO
BERNARDO SPECTOR,ANDAR 3
SPECTOR,CASA
LEITE,
LUIS ANSELMO,APARTAMENTO
VI,BLOCO C APARTAMENTO 301
CARLOS MARON,APARTAMENTO 1004
PEDREIRA,APARTAMENTO 503
9 DE OUTUBRO,
,C 301
CAEL,APARTAMENTO 201
DO ACUPE,
JOAO VI,
GUSTAVO,
ARISTON BERTINO DE CARVALHO,ANDAR 3 TERREO
ARISTON BERTINO DE CARVALHO,10 1002
RENATO MENDONCA,ANDAR 11 APARTAMENTO 1103
COSME,
,ANDAR 1
PARAISO,CASA
,TERREO
ALTINA,
QUINTA TRAV 25 DE DEZEMBRO,
QUINTA TRAV 25 DE DEZEMBRO,
25 DE,
DANIEL LISBOA,
PEREIRA DA SILVA,
THOME DA SILVA,TERREO
MACHADO DE ASSIS,
LIMA TEIXEIRA,
LIMA TEIXEIRA,SUBSOLO
LIMA TEIXEIRA 3,TERREO
LIMA TEIXEIRA,ANDAR 1
JARDIM SANTA,CASA d2
18 DE OUTUBRO,ANDAR 1
AURELIO LISBOA,
,
1 GANDARELA,
,
,
ANTONIO DE,
ANTONIO DE,ANDAR 1
JOAO VINTEM,
SIRI SIRI TERCEIRA,
BORJA,BLOCO B APARTAMENTO 1301
BORJA,BLOCO B APARTAMENTO 302
BORJA,APARTAMENTO 904
FILINTO BORJA,APARTAMENTO 301
JOAO VI,
,TERREO
,CASA 23
VERGER,
PEQUENO,
ARCHIMEDES GONZAGA,QUARTO 7 TERREO
DO PEPINO,CASA SUBSOLO
JUREMA,CASA TERREO
ALEGRIA DO CASTRO NEVES,APARTAMENTO 101
PITANGUEIRAS,
COQUEIROS,
DAS PEDRINHAS,
CLIMERIA MONTANHA,
CAMPINAS DE BROTAS,ANDAR 301
JOSE ANASOH,TERREO
,
TEIXEIRA BARROS,
TEIXEIRA BARROS,SUBSOLO
TEIXEIRA BARROS,
TEIXEIRA BARROS,
ANTONIO CARLOS MAGALHAES,sul 1102
ARATUBA,
GUIOMAR FLORENCE,APARTAMENTO 804
GUIOMAR FLORENCE,APARTAMENTO 308
IDELFONSO DE MESQUITA,2 202
ITATUBA,
SEGUNDA AV TEIXEIRA BARROS,FUNDOS 20
SEGUNDA AV TEIXEIRA BARROS,
SEGUNDA AV TEIXEIRA BARROS,CASA 4 ALAMEDA_INTERNA
AV TEIXEIRA BARROS,
TEIXEIRA BARROS,EDIFICIO bela vis APARTAMENTO 303
DO CALANGO,FUNDOS
GUSTAVO DA FONSECA,
PIRANGI,
PIRANGI,TERREO
CACAU,FRENTE
TV DO CACAU,
23 DE ABRIL,
ALBERTO PONDE,APARTAMENTO 501
ALBERTO PONDE,
CARLOS MARON,APARTAMENTO 908
CARLOS MARON,
DOS JASMINS,BLOCO B APARTAMENTO 1101
ANTURIOS,
ANTURIOS,
RAMALHO,
PEQUENO,FRENTE 405
JURACY MAGALHAES JUNIOR,
REMANSO,APARTAMENTO 102
2 SANTA RITA,
ARTUR D ALMEIDA COUTO,ANDAR 3 APARTAMENTO 301
SAUDE,ANDAR 204
DA SAUDE,ANDAR 1 APARTAMENTO 102
SAUDE,ANDAR 0 APARTAMENTO 02
DA SAUDE,ANDAR 2 APARTAMENTO 204
LEITE,FRENTE
LEITE,APARTAMENTO 206
RAUL LEITE,ANDAR 3 APARTAMENTO 302
ALFREDO ROCHA,
ROCHA,
ROCHA,BLOCO B APARTAMENTO 503
LAURINDO REGIS,
VI IOLANDA PIRES,
10 IOLANDA,
ANTONIO DIAS,
,
,
3 TRAVESSA ANDRE LUIS,
TRAVESSA ANDRE LUIS,
COSME DE FARIAS,
3 DE MAIO,
3 DE,TERREO
ANGATURAMA,BLOCO 3 APARTAMENTO 302
ANGATURAMA,BLOCO APARTAMENTO
DA PAZ,
DA PAZ,
,CASA ANDAR 1
URSULA,ANDAR
4 DA PAZ,1
IRAPUA,ANDAR 1
VILA CRUZ,ANDAR 1 CASA 1
ARACATUBA SEGUNDA,
12 DE SETEMBRO,3 APARTAMENTO
12 DE,TERREO
EMILIA COUTO,
ALDA LEAL,ANDAR 2 APARTAMENTO 201
PACOTI,1 102
,ANDAR 1o APARTAMENTO 101
MUNIZ,APARTAMENTO 26
GRACA LESSA,
MARIO LEAL FERREIRA,
MARIO LEAL FERREIRA,
MARIO LEAL FERREIRA,
FORMOSO,
JAGUARARI,TERREO
CAMPINAS DE,
CAMPINAS DE BROTAS,BLOCO E APARTAMENTO 23
CAMPINAS DE BROTAS,BLOCO APARTAMENTO
CAMPINAS DE,BLOCO J APARTAMENTO 202
MARIA AUGUSTA MAIA,
TORRES,
OPTACIANO DA SILVA OLIVEIRA,BLOCO 69 APARTAMENTO 101
BERTINO DE CARVALHO,BLOCO 1 APARTAMENTO 301
SILVA,
,FUNDOS
SEGUNDA TRAVESSA,ANDAR 1
ASSIS SAMPAIO,
ALVES CAMARA,CASA
ALVES CAMARA,
ALVES CAMARA,1 102
FIGUEIRA,
LUIZ FILGUEIRAS,CASA ANDAR 1
ESPERANCA,CASA ANDAR 1
POTENGI,
PIRANGI,CASA
3 VIVALDO CRUZ,1
1 23 DE ABRIL,
CARLOS MARON,201 BLOCO
,CASA 3
BASTILHA,ANDAR 2
CHA,TERREO
CHA,
DOS JASMINS,
DOS JASMINS,
ANTONIO TEIXEIRA DE CARVALHO PRIMEIRA TRAVESSA,
HENRIQUE SENA AYRES FILHO,
CAPELINHA,RUA_INTERNA CASA 3
,1
SEGUNDA TRAVESSA ANTONIO COSTA,TERREO
VASCO DA GAMA,
BETA,
BETA,
FELIPA,
FELIPA,CASA
PARAGUACU,TERREO
HELIO DE,
HELIO DE OLIVEIRA,BLOCO B APARTAMENTO 301
OSORIO VILAS BOAS,TERREO
RAIMUNDO DE BROTAS,
1 WENCESLAU GALO,
TEIXEIRA BARROS,EDIFICIO 203
BARROS,EDIFICIO 729 APARTAMENTO 202
VILA SAO ROQUE,EDIFICIO 20 APARTAMENTO 1002
LUZIA,PREDIO 1 ANDAR 18 APARTAMENTO 1802
ARACATUBA,
GIRASSOL,
THOMPSON,ANDAR 1
4 DE DEZEMBRO,
CONEGO PEREIRA,
DOS TUPYS,
NILSON COSTA,APARTAMENTO 103
LEITE,
GENESIO SALLES,
GENESIO SALLES,APARTAMENTO 102
GENESIO SALLES,APARTAMENTO 202
LUIZ DE CAMOES,APARTAMENTO 301
LUIZ DE,APARTAMENTO 403
LUIZ DE,
,
ANSELMO,
LUZIA,CASA
JOANA,E
DAS ORQUIDIAS,
GUILHERMINO DE FREITAS JATOBA,APARTAMENTO 1603
BARROS FALCAO,BLOCO a APARTAMENTO 202
RAMOS,CASA
TERCEIRA JOSE RAMOS,
PREGUICA,
DA PREGUICA,
DO CORPO,
DOS TUPINAMBAS,APARTAMENTO 113
FREDERICO DE CASTRO RABELO,
MONTANHA,
DUMOND,
SARAIVA,
MARIANI,TERREO
ORLANDO MOSCOSO,
ORLANDO MOSCOSO,CASA
ORLANDO MOSCOSO,TERREO
PITUACU,BLOCO 10 APARTAMENTO 01
SEGUNDA EUGENIO SALES,TERREO
SEGUNDA EUGENIO SALES,TERREO
AMADO,BLOCO APARTAMENTO
SEGUNDA EUGENIO SALES,TERREO
BANANAL,TERREO
AMENDOEIRA DO JARDIM IMPERIAL,ANDAR 1 CASA 4
DA AMENDOEIRA DO JARDIM IMPERIAL,
BASTOS,ANDAR 1
JOAO PAULO II,TERREO
JOAO PAULO II,SUBSOLO
,TERREO APARTAMENTO 1
ALTO DO POMBAL,
MARQUES DE QUELUZ,
MIRANTE DE PITUACU,
PINTO DE,
DO SAO JOAO,
DA BOLANDEIRA,
BOLANDEIRA,
BOLANDEIRA,
BOLANDEIRA,
BOLANDEIRA,TERREO CASA 3
PARQUE COSTA VERDE,CASA
ALPHAVILLE,APARTAMENTO 504
ALPHAVILLE,APARTAMENTO 1404
B PARQUE COSTA VERDE,CASA
QUIXADA,
MANACA,CASA
ITAMARAJU,APARTAMENTO 201
,APARTAMENTO 302
2,APARTAMENTO 002
2,
APOEMA,
DA FAUNA,
HERBERT ROCHA VAZ,CASA
JOAO DE SOUZA REGO,
LUCIANO PACHECO,CASA
SANTA BARBARA,CASA
ISABEL,CASA 2
FLORIANO TEIXEIRA,CASA
DA COSTA LEAL,CASA
BARBOSA,CASA
CAPRI,
ROSEIRAS,
JOSE ARAUJO,
JOSE ARAUJO,APARTAMENTO 102
PRIMEIRA BEIRA,ANDAR 1
PRIMEIRA XANGO,TERREO
XANGO,
SATIRO DIAS,ANDAR 1
DIAS,TERREO
TERCEIRA DO,
LISBOA,
DO GRAVATA,ANDAR 1
SENHOR DO BONFIM,TERREO
DO TAMARINEIRO,TERREO
,
GUARARAPES,FUNDOS
CAMARA,
NOVA,ANDAR 1
DAS DUNAS,
CARAMUJO,
DUNAS,
DAS DUNAS,BLOCO a TERREO CONJUNTO 2 APARTAMENTO 5
DO VENTO,CASA 6
,ANDAR 1 APARTAMENTO 129
,BLOCO c ANDAR 1 APARTAMENTO 101
CARDOSO,
SEVERINO FILHO,
DA MUSICA,
SAMPAIO,
,CASA 3
SAMPAIO DE ITAPOA,
IPITANGA,FRENTE
ITAPUA,TERREO
7 DE,
CONTORNO,TERREO
CAYMMI,TERREO
FREDERICO GUSTAVO DOS SANTOS,TERREO
FREDERICO GUSTAVO DOS SANTOS,
PAULO AFONSO BAQUEIRO,1 110
ALAGOAS,CASA 3
BRASILIA,CASA 1
JOSE ALVES,CASA 2
PASSARGADA,
ELIEL MARTINS,QUADRA L
ITALO GAUDENZI,O 12 13
EULER DE PEREIRA CARDOSO,FRENTE
EULER DE PEREIRA CARDOSO,CASA 003
EULER DE PEREIRA CARDOSO,CASA B3
OTTO NELSON,
EULER PEREIRA CARDOSO,CASA E5
EULER DE PEREIRA CARDOSO,CASA F4
ORLANDO IMBASSAHY,
PAULO FREIRE,CASA
ANDRE FALCAO,CASA 2
BELIAQUA,CASA 6
BELIAQUA,
CLOVIS BELIAQUA,CASA 1
IBITIARA,
,QUADRA 8 APARTAMENTO 202
AUGUSTO TOURINHO DANTAS,
MARCONDES FERRAZ,QUADRA LOTE
RENATO BEBERT DE CASTRO,CASA 48
BELA VISTA DO AEROPORTO,
DUNAS DE ITAPUA,
,ANDAR 1
JARDIM ALVORADA,CASA
SAO CARLOS,
SETIMA UNIAO PARAISO,
ITANHEM,
RIO DA PAZ,CASA
TAVARES,LOTE 1
PIATA VILLE,
VILLE,
LUIS EDUARDO,CASA 6
LUIS EDUARDO MAGALHAES,
7 DE SETEMBRO,FUNDOS
5 UBATA,
UBATA,
28 DE DEZEMBRO,
UBATA,
,
ISABEL,
DA RESISTENCIA,
PARIPIRANGA O1,
,
5 DA FELICIDADE,
BARBARA DA PAZ,
MACHADO DE ASSIS,
JAMAICA,
DA JAMAICA,TRAVESSA_INTERNA
,
PRAIA DO,
PRAIA DO,
PRAIAS DA FLORIDA,FRENTE
PARQUE SAO JORGE,
SEGUNDA SAO,
CRISTOVAO,
FRANCISCO 3,
AUXILIADORA,TERREO
DA CONCEICAO,2 APARTAMENTO
DA ILHA,ANDAR 1
,TERREO
2 DE,AVENIDA_INTERNA ANDAR 2
TRAVESSA DOIS DE JANEIRO,
,
GUARARAPES,TERREO
DO CAJUEIRO,
DO CAJUEIRO,FUNDOS
2 PRESIDENTE VARGAS,
2 PRESIDENTE,FRENTE
BELA VISTA,
JOAO BRITO,TERREO
12 DE MARCO,CASA
17 DE,APARTAMENTO
17 DE FEVEREIRO,CASA
LUIS EDUARDO MARGALHAES,TERREO CASA 2
FONTE,TERREO
FONTE,ANDAR 1 APARTAMENTO 1
DA FONTE,ANDAR 2
OITIS,
DOS OITIS,SUBSOLO
ANTONIO DE CIMA,
DOS OPERARIOS,
,CASA TERREO
DOMINGOS SILVA,ANDAR 1
EDMUNDO SPINOLA DO KM 17,TERREO
EDMUNDO VISCO,
RIO DA,
BISPO,
DO BISPO,TERREO
DORIVAL CAYMMI,
PRIMEIRA DO,CASA 15
XANGO,LADO CASA 1
VILA ROMANA,
OLHOS DAGUA,SOBRADO
1 MAIO,
MANDACARU,CASA 3
1 DE NOVEMBRO,
2 FEVEREIRO,
CAYMMI,
MEIRELLES,FUNDOS
IPITANGA,
PAULO AFONSO,
17 DE,TERREO
17 DE SETEMBRO,
,CASA 148
D,
ORLANDO GOMES,CASA 30
,SOBRADO
16 DE,
16 DE JULHO,
ARAUJO BASTOS,FUNDOS
CURY,ANDAR 1 CASA 2
PRAIAS DA FLORIDA,
PRAIAS DA,
PRAIAS DO BRASIL,
ELIEZER DE,APARTAMENTO 301
JORGE AMADO,
FRANCISCO PEREIRA COUTINHO,CASA 4
FRANCISCO PEREIRA COUTINHO,LOTE 3 CASA 3
LIMA,1
MARIO ALBIANE,ANDAR 1
2 DE,ANDAR 1
CLOVIS LEONE,CASA
CURUPIRA,CASA
MENDES DA SILVA,
MENDES DA SILVA,CASA 4
ACARI,CASA
SANTANA,
GALIZA,CASA
HELENO DE MELO,CASA
ENCONTRO DAS ARVORES,
ANTONIO BENSABATH,CASA
ANTONIO BENSABATH,CASA
DO FORTE,CASA 2e
CARAPEBA,
RAMOS,CASA
OTAVIO MANGABEIRA,CASA
DO PALAME,FUNDOS 1 ANDAR CASA
RETIRO,
ICUARA,CASA 2
2 DO,
ANGELICA,CASA
AMENDOEIRA,TERREO
,ANDAR 1 CASA 2
PRAIA DE GUARAPARI,1 106
PRAIA DE,CASA 01
FELIPE TIAGO,CASA 4
FELIPE TIAGO GOMES,TERREO APARTAMENTO 02
MELO,TERREO
RIO DA PRATA,
RIO DA PRATA,
MURPHY,CASA 06
ADOLFO LEITAO,
HAMILTON DRUMMOND FRANK,CASA 1
THALES DE AZEVEDO,QUADRA 22 14 APARTAMENTO 8
THALES DE,ANDAR 1 CASA 103
NOVA ESPERANCA,TRAVESSA_INTERNA 3
ESPERANCA,TRAVESSA_INTERNA
NOVA ESPERANCA,
NOVA ESPERANCA,TERREO
VALE DO TUBO,SOBRADO
FRANCA TEIXEIRA,
FRANCA TEIXEIRA,FUNDOS 2
FRANCA TEIXEIRA,
JOAO DURVAL CARNEIRO,FUNDOS
SERGIO CARNEIRO,TERREO
,
NEVES,
2 UAUA,
DA JAMAICA,
4 DA JAMAICA,
AUXILIADORA,
DA ANGUSTIA,CASA 1
DO AMPARO DE ITAPOA,
DO BOM CONSELHO,TERREO
JORGE DE,
MARCOS DE ITAPOA,
MARCOS DE ITAPOA,
MARCOS DE ITAPOA,
ALVARO BAQUEIRO 1,FUNDOS
MANDACARU,TERREO
NOVA EPERANCA,ANDAR 1
LUIZ VIANA FILHO,
HENRIQUE DE COIMBRA,
PRAIA VERMELHA,
PRAIA VERMELHA,CASA 26
,
RENATO BIAO,
SEBASTIAO CAMILO VALENCA,
BELA VISTA,
DA ASSEMBLEIA,CASA
ORIENTE,TERREO
ORIENTE,CASA
MANGUEIRA,
BEIRA RIO DE ITAPUA,
XANGO,TERREO
LUIS CAMPOS GALVAO,FUNDOS
DA CACIMBA,APARTAMENTO 3
GENEBALDO FIGUEREDO,
GENEBALDO FIGUEREDO,
7 DE SETEMBRO,ANDAR CASA
DA ILHA,
DA ILHA,
DA VITORIA,ANDAR 1
,
OLHOS D,
JARDIM PLACAFORD,CASA
ITAGIBA,
DO BANANAL,
DO BANANAL,
,TERREO
ITABI,
TRAVESSA UNIAO PARAISO,
12 UNIAO,
VISTA DO AEROPORTO,SOBRADO
DA ESCADA,
MIRANDA,
BOLANDEIRA,SOBRADO
DA BOLANDEIRA,TERREO
DA BOLANDEIRA,TERREO
DA BOLANDEIRA,TERREO
ANTONIO,
MANGABEIRA,
,CASA 1 ANDAR
19 DE MARCO,
DA  RESISTENCIA,ANDAR
NELSON MANDELA,CASA
RESISTENCIA,
DA RESISTENCIA,LADO
DA RESISTENCIA,FRENTE
DUTRA 1,LADO
ISABEL DA,SOBRADO
JESUS DE NAZARE,CASA
BOCA DO RIO,
CAXIAS,FUNDOS CASA
JUSSARI,
PAZ DE CIMA,
DA PAZ CELESTIAL,CASA
DA FELICIDADE,
FELICIDADE,
PAULO AFONSO BAQUEIRO,CASA TERREO
CAJUEIRO,CASA
2 UAUA,
4 UAUA,
UAUA,
ALBERTO VITA,ANDAR 2
21 DE,
ITAPUA,FUNDOS
REINALDO CALIXTO,
BENTO,TERREO
LAGARTO AZUL,FUNDOS
SEVERINO FILHO,
SEVERINO FILHO,
PRAIA DE CARATINGUI,
DA ENTRADA CONDOMINIO ESTRELA DO,
PRAIA DE,
RIO PRETO,
JARDIM ALVORADA,
PARQUE SAO JORGE,
DA ADUTORA DE SAO CRISTOVAO,ANDAR 01 FRENTE
JURATAI,CASA 01
MARCOS DE,
ESTEVES,
MANOEL ESTEVES,
RIO DA,
B,
MEIO,TERREO
LAFAYETE COUTINHO,FUNDOS
LAFAYETE COUTINHO,
LUIS EDUARDO,
BELA VISTA,FRENTE
DO GRAVATA DE ITAPUA,
TRIANGULO,ANDAR 1
DO TRIANGULO,CASA
KM 17,
VEREDAS DE ITAPUA,
SEGUNDA DAS PEDRINHAS DE ITAPUA,
SEGUNDA DAS PEDRINHAS DE ITAPUA,
SEGUNDA DO MONTE,CASA
,
SEGUNDA VILA ROMANA,CASA 3
VARSOVIA,ANDAR 5
JOSE ALVES,
JOSE ALVES,
ARAUJO BASTOS,TERREO
BASTOS,CASA
,
MENDONCA,
BARRETO PEDROSO,CASA 16
AMENDOEIRA DE PITUACU,
NETUNO,
NETUNO,
VENUS,
TELES,
1 ANFILOFIO,TERREO
CAMINHO DAS ARVORES,
,
PALMEIRA,
DA PALMEIRA,
DA BELGICA,
JUAZEIRO,
RAIMUNDO,
CEU,CASA 3 FUNDOS
AMENDOEIRA,TERREO
DILSON JATHAI FONSECA,
ALVARO DESIDERIO,BLOCO D CASA 10
ALVARO DESIDERIO,CASA 3
BEIRA MAR,QUADRA B ANDAR 1 APARTAMENTO 104
BRAULIO DE,
FELIPE TIAGO,QUADRA F LOTE 23 ANDAR APARTAMENTO
FELIPE TIAGO,CASA 4
FELIPE TIAGO GOMES,
RIO DA,
RUBEM VALENTIM,QUADRA 3
HORTO VILE PIATA VILA DOS IPES,
HORTO VILE PIATA VILA DOS IPES,
HORTO VILE PIATA VILA DOS,
NOVA,ANDAR 1
29 DE OUTUBRO,CASA 2
29 DE OUTUBRO,CASA 2
GONCALVES CEZIMBRA,TERREO
OTAVIO MANGABEIRA,ANDAR 2 APARTAMENTO 205
MAR DEL,
,EDIFICIO 2
BOTELHO DE MARE,CASA
CAIEIRA,CASA
CAIS DO,
CAIS DO LOURO,
BECO,
PRAIA DE SOLTAVENTO,OUTROS
,FUNDOS
,
,
FONTE DO ORATORIO,CASA
DO PASSA,FUNDOS CASA 1
DO PASSA CAVALO,DEPOSITO
PONTA DE AREIA,
PRACA,
DA UNIAO DE MARE,
VIUVA,
MIRANTE DE MARE,
DA FONTE NOVA,
DO NORDESTE,FUNDOS
DO NORDESTE,
TANQUE,FUNDOS
TANQUE,
FORMOSA,
ROSA MARIA,CASA 1
FONTE PRAIA DA COSTA,
DO TORTO,ANDAR 1
VERMELHAS,CASA 13
PRAIA DA PONTA D NS GUADALUPE,
DE COTEGIPE,
DO CANTAGALO,
DOMINGUINHO,
AUGUSTO DE MENDONCA,ANEXO 1
DO CANTA GALO,
CHAVES,TERREO
FERNANDES DA CUNHA,
SANTOS,TERREO
DO URUGUAI,FUNDOS
FRANCISCO XAVIER DE OLIVEIRA,
JOSE MARTINS TOURINHO,
,AVENIDA_INTERNA
LINO COUTINHO,TERREO
LUIZ MARIA,
PATIO DO,TERREO
1 LINO COUTINHO,CASA
AMERICO DE SOUZA GOMES,
BATITINGA,
CABRAL,
DO HOSPITAL,APARTAMENTO 11
JOSE JOAQUIM SEABRA,
SEGUNDA PRADO,
DE NAZARE,602 BLOCO
DOMINGOS SAVIO,
DA COVA DA ONCA,
JOANA ANGELICA,LOJA 01
JOANA ANGELICA,
ANGELICA,APARTAMENTO 203 BLOCO 1
ANGELICA,
JOANA ANGELICA,
JOGO DO CARNEIRO,APARTAMENTO 06
JOGO DO,ANDAR 1
DA AGONIA,
POEIRA,
DA POEIRA,APARTAMENTO 301
JOGO DO CARNEIRO,
DA POEIRA,APARTAMENTO 101
JOGO DO CARNEIRO,
DA SAUDE,ANDAR 1
DO ALVO,
ALVO,
SILVANY,
DA JAQUEIRA,
DA SEREIA,
POEIRA,ANDAR 2
JENIPAPEIRO,
DO JENIPAPEIRO,
ALEXANDRE GRAN BELL,
BANANEIRAS,TERREO
,CASA
FILHO,CASA
ALEXANDRE FLEMING,
14 DE,
2A VITORIA,
,FUNDOS
ISRAEL,FRENTE
SEARA,
,SOBRADO
15 DE NOVEMBRO,TERREO
15 DE,
1A LIGIA BONFIM,
MELISSA,SOBRADO
,CASA 1
MOCAMBIQUE,FRENTE
NOVA ESPERANCA DE PERIPERI,
GERALDO,CASA 1
,
MINERVA,
1 DE MAIO,
1 TRAVESSA DOS TUPIS,
2 DE JULHO DE COUTOS,
DA LAGOA,FUNDOS 4
DA LAGOA,
TRAVASSO,APARTAMENTO 301
PRIMEIRA 15 DE NOVEMBRO,CASA 2
MUNIZ TRAVASSO,FUNDOS
MARIA BARRADAS,
JOSE DO PATROCINIO,
JOSE DO,
MATEUS,TERREO
MANUEL DIAS,
TRAVASSO,TERREO 1
SANTO INACIO,CASA
FRANCO VELASCO,BLOCO BLOCO APARTAMENTO 304
SABIA,BLOCO 101 BLOCO A APARTAMENTO 004
DO SABIA,BLOCO 57 E APARTAMENTO
DO SABIA,BLOCO 57 BLOCO C APARTAMENTO 001
PACHECO,FUNDOS
SANTOS DUMOND,
DUMOND,
DUMOND,
OLIVAES,
,TERREO
,SUBSOLO
QUARENTA E NOVE,
E 3A ETAPA,SOBRADO
F 3A,TERREO
,TERREO
DO BONFIM,TERREO
DO FOGO,
APARECIDA,TERREO
MONZA,SOBRADO
,SOBRADO
,ANDAR 2
MONZA,CASA
